Artist,Hour,stage,date,id
Alizzz,01:45 - 02:45,El Punto by adidas Originals (Primavera Bits),10.06.22,23herDudxPBB3S81GB5uG3
Oil XL,03:00 - 03:45,El Punto by adidas Originals (Primavera Bits),10.06.22,3L3ejltt5dmjXkES4YSGKX
Valentino Mora ,21:25 - 22:10,Lotus (Primavera Bits),10.06.22,1U9VJ1tPataidARB8IBkAk
Wata Igarashi ,22:35 - 23:35,Lotus (Primavera Bits),10.06.22,7ug2B8FOnKHqwtVlD9vrQX
Vladislav Delay,00:10 - 01:05,Lotus (Primavera Bits),10.06.22,5E3H2KyR31E2Dj3K6vIUe9
Senyawa,01:40 - 02:50,Lotus (Primavera Bits),10.06.22,0F0QctWhGzgl1Ih560JzWJ
Sama' Abdulhadi,03:25 - 04:25,Lotus (Primavera Bits),10.06.22,52qyXsgOeHZZxHRRxyO8xm
Nicola Cruz,04:50 - 05:50,Lotus (Primavera Bits),10.06.22,0OltT51j3hIkgaDJqqPzDn
Angèle,18:50 - 19:35,Cupra FKA Seat,11.06.22,3QVolfxko2UyCOtexhVTli
Jessie Ware,20:45 - 21:45,Cupra FKA Seat,11.06.22,5Mq7iqCWBzofK39FBqblNc
Jorja Smith,23:10 - 00:10,Cupra FKA Seat,11.06.22,1CoZyIx7UvdxT5c8UkMzHd
Megan Thee Stallion,01:50 - 03:00,Cupra FKA Seat,11.06.22,181bsRPaVXVlUKXrxwZfHK
Renaldo y Clara,18:00 - 18:45,Pull & Bear,11.06.22,29eGrPvxOuFDGOyOUi3RLq
Yeah Yeah Yeahs,19:40 - 20:40,Pull & Bear,11.06.22,3TNt4aUIxgfy9aoaft5Jj2
Phoenix,21:50 - 23:05,Pull & Bear,11.06.22,1xU878Z1QtBldR7ru9owdU
Tame Impala,00:15 - 01:45,Pull & Bear,11.06.22,5INjqkS1o8h1imAzPqGZBb
Celeste,16:45 - 17:30,Dice FKA Ray-Ban,11.06.22,49HlOY4gkHqsYG9GCuhkcc
Derby Motoreta's Burrito Kachimba,18:20 - 19:05,Dice FKA Ray-Ban,11.06.22,1nRVWZrJJCFAfkRWtFFPj4
Jhay Cortez,22:15 - 23:15,Dice FKA Ray-Ban,11.06.22,0EFisYRi20PTADoJrifHrz
Nicki Nicole,00:35 - 01:35,Dice FKA Ray-Ban,11.06.22,2UZIAOlrnyZmyzt1nuXr9y
Dj Seinfield,04:10 - 06:00,Dice FKA Ray-Ban,11.06.22,37YzpfBeFju8QRZ3g0Ha1Q
Soleá Morente,17:30 - 18:15,Primavera,11.06.22,5X5UPn6eVnwfYcujIQpcfu
Sen Senra,19:10 - 20:00,Primavera,11.06.22,5lWasZeo8uWQk6GD8czJLq
Antònia Font,21:00 - 22:10,Primavera,11.06.22,503mwh1GWEiWy9bzzpiTFW
Mogwai,23:20 - 00:30,Primavera,11.06.22,34UhPkLbtFKRq3nmfFgejG
Tainy,01:40 - 02:40,Primavera,11.06.22,0GM7qgcRCORpGnfcN2tCiB
The Weather Station,17:45 - 18:30,Pitchfork,11.06.22,39ZEMGRv3pIYTYKEhr4Abu
Genesis Owusu,19:25 - 20:10,Pitchfork,11.06.22,1HvH97rzvCH6lfnLlgyfke
Viagra Boys,21:05 - 21:50,Pitchfork,11.06.22,2nAKP6etu8wXNnezKXgqgg
Altin Gün,22:45 - 23:30,Pitchfork,11.06.22,37PL04N8kBWWW69jdrMMWT
Rolling Blackouts Coastal Fever,00:25 - 01:10,Pitchfork,11.06.22,65mMkD9WW39U9Yadv0dWUF
Sky Ferreira,02:05 - 02:50,Pitchfork,11.06.22,7pyhre5oEEFMqcgMEvJY7q
Fred Again..,03:45 - 05:00,Pitchfork,11.06.22,4oLeXFyACqeem2VImYeBFe
Alanaire,17:00 - 17:40,Adidas,11.06.22,5asecBdhCgsGfPIsAoNs1R
Da Souza,18:35 - 19:20,Adidas,11.06.22,3rD7bBI9zkYhu62o79tWe6
Pond,20:15 - 21:00,Adidas,11.06.22,4skJp5OKvcc9eKokiuhi2s
Oranssi Pazuzu,21:55 - 22:40,Adidas,11.06.22,3XFQRe2FsSOjrODygK4caW
Confeti de Odio,23:35 - 00:20,Adidas,11.06.22,3C1CPJ9K2aeHuj1x22B0qJ
Molchat Doma,01:15 - 02:00,Adidas,11.06.22,1nVq0hKIVReeaiB3xJgKf0
La Zowi,02:55 - 03:40,Adidas,11.06.22,1jB62pOe5WpGiHOBDtKBBG
Gaahls Wyrd,16:00 - 17:00,Auditori,11.06.22,7h8V7XHdJ3akShW3uFaZyn
Angel Bat Dawid,17:30 - 18:30,Auditori,11.06.22,59lypjMPo7ZILhNMCgaE19
Arooj Aftab,19:00 - 20:00,Auditori,11.06.22,00JAfwtx5gNiiqyor88Dr5
Caterina Barbieri,21:00 - 22:00,Auditori,11.06.22,61WgG5fz5ilJrMne7tE1zu
Ela Minis,20:30 - 21:55,Desperados Cube (Primavera Bits),11.06.22,4rdJkXHNrMgowlwUdQAg8T
Logic1000 ,00:10 - 01:05,Desperados Cube (Primavera Bits),11.06.22,2EFsfh1zewsSWhDINv7j1I
Sherelle,01:05 - 02:35,Desperados Cube (Primavera Bits),11.06.22,2TFDQkQ7LahhuwL9p7R6MO
Romy,02:35 - 04:00,Desperados Cube (Primavera Bits),11.06.22,3X2DdnmoANw8Rg8luHyZQb
Daniel Avery ,04:00 - 06:00,Desperados Cube (Primavera Bits),11.06.22,1EULJuDFWpZ9xg4YwtUGGt
Acemoma ,20:05 - 21:10,El Punto by adidas Originals (Primavera Bits),11.06.22,5igyz9vWH6ban6NMfKeCir
Dj Pastis,01:20 - 02:05,El Punto by adidas Originals (Primavera Bits),11.06.22,2XtrsBob50yrdPKaWPJI9E
Sad Night Dynamite,02:05 - 02:50,El Punto by adidas Originals (Primavera Bits),11.06.22,6ydvoGN30eRfE78bjTANF7
Namasenda,02:50 - 04:00,El Punto by adidas Originals (Primavera Bits),11.06.22,5T68nryXXOMNE2kVe61fKX
Craig Richards,04:00 - 06:00,El Punto by adidas Originals (Primavera Bits),11.06.22,6EVc5gJQXiUl586m1NFCNH
Paranoid 1966,01:30 - 02:15,Lotus (Primavera Bits),11.06.22,6GP540ZTiOPTz8uI76k43u
Courtesy ,02:40 - 03:55,Lotus (Primavera Bits),11.06.22,0osYTSrOpW6YESEC1lClwN
Acemoma ,04:15 - 05:40,Lotus (Primavera Bits),11.06.22,5igyz9vWH6ban6NMfKeCir
Goldie,16:30 - 18:00,Xiringuito Aperol (Primavera Bits),11.06.22,2SYqJ3uDLLXZNyZdLKBy4M
